article_title,country,article_quality,revision_id,population,region
Shahjahan Noori,Afghanistan,"""GA""",1099689043,41.1,SOUTH ASIA
Abdul Ghafar Lakanwal,Afghanistan,"""Start""",943562276,41.1,SOUTH ASIA
Majah Ha Adrif,Afghanistan,"""Start""",852404094,41.1,SOUTH ASIA
Haroon al-Afghani,Afghanistan,"""B""",1095102390,41.1,SOUTH ASIA
Tayyab Agha,Afghanistan,"""Start""",1104998382,41.1,SOUTH ASIA
Ahmadullah Wasiq,Afghanistan,"""Start""",1109361754,41.1,SOUTH ASIA
Aziza Ahmadyar,Afghanistan,"""Start""",1087211008,41.1,SOUTH ASIA
Muqadasa Ahmadzai,Afghanistan,"""Start""",1082489593,41.1,SOUTH ASIA
Mohammad Sarwar Ahmedzai,Afghanistan,"""Start""",1038918070,41.1,SOUTH ASIA
Amir Muhammad Akhundzada,Afghanistan,"""Start""",1069322182,41.1,SOUTH ASIA
Nasrullah Baryalai Arsalai,Afghanistan,"""Start""",1095526840,41.1,SOUTH ASIA
Mohammad Asim Asim,Afghanistan,"""Stub""",1013838830,41.1,SOUTH ASIA
Atiqullah Atifmal,Afghanistan,"""Start""",1112407669,41.1,SOUTH ASIA
Abdul Rahim Ayoubi,Afghanistan,"""Start""",1108886061,41.1,SOUTH ASIA
Alhaj Mutalib Baig,Afghanistan,"""Start""",1111494041,41.1,SOUTH ASIA
Ismael Balkhi,Afghanistan,"""Start""",1112534409,41.1,SOUTH ASIA
Abdul Baqi Turkistani,Afghanistan,"""Stub""",889226470,41.1,SOUTH ASIA
Mohammad Ghous Bashiri,Afghanistan,"""Start""",1102150221,41.1,SOUTH ASIA
Abas Basir,Afghanistan,"""C""",1098419766,41.1,SOUTH ASIA
Jan Baz,Afghanistan,"""Stub""",997027082,41.1,SOUTH ASIA
Ahmad Behzad,Afghanistan,"""Start""",1103948295,41.1,SOUTH ASIA
Bashir Ahmad Bezan,Afghanistan,"""Start""",1060707209,41.1,SOUTH ASIA
Rafiullah Bidar,Afghanistan,"""Stub""",977208323,41.1,SOUTH ASIA
Mohammad Siddiq Chakari,Afghanistan,"""Stub""",1105913099,41.1,SOUTH ASIA
Cheragh Ali Cheragh,Afghanistan,"""Start""",1087211968,41.1,SOUTH ASIA
Nasir Ahmad Durrani,Afghanistan,"""Stub""",988838315,41.1,SOUTH ASIA
Elay Ershad,Afghanistan,"""Stub""",1102489654,41.1,SOUTH ASIA
Muhammad Hashim Esmatullahi,Afghanistan,"""Stub""",949986748,41.1,SOUTH ASIA
Ezatullah (Nangarhar),Afghanistan,"""Stub""",947885788,41.1,SOUTH ASIA
Aimal Faizi,Afghanistan,"""Stub""",1033383351,41.1,SOUTH ASIA
Mohammad Nasim Faqiri,Afghanistan,"""Start""",1098051193,41.1,SOUTH ASIA
Mohammad Nazar Faqiri,Afghanistan,"""Stub""",1095525798,41.1,SOUTH ASIA
Sharif Ghalib,Afghanistan,"""B""",1041460606,41.1,SOUTH ASIA
Hashmat Ghani Ahmadzai,Afghanistan,"""C""",1112933356,41.1,SOUTH ASIA
Abdul Ghani Ghani,Afghanistan,"""Stub""",1072441893,41.1,SOUTH ASIA
Ashraf Ghani,Afghanistan,"""B""",1113195582,41.1,SOUTH ASIA
Abdul Samad Ghaus,Afghanistan,"""Stub""",1072271854,41.1,SOUTH ASIA
Ghulam Ghaus,Afghanistan,"""Stub""",1109361872,41.1,SOUTH ASIA
Ghulam Muhammad Ghobar,Afghanistan,"""Stub""",1108886395,41.1,SOUTH ASIA
Mohammad Gul (Helmand Council),Afghanistan,"""Stub""",1092523687,41.1,SOUTH ASIA
Ghulam Haider Hamidi,Afghanistan,"""Start""",1095018556,41.1,SOUTH ASIA
Rangina Hamidi,Afghanistan,"""C""",1104280812,41.1,SOUTH ASIA
Abdul Malik Hamwar,Afghanistan,"""Stub""",1100874645,41.1,SOUTH ASIA
Sayed Zafar Hashemi,Afghanistan,"""Start""",1112804808,41.1,SOUTH ASIA
Qutbuddin Hilal,Afghanistan,"""Start""",1104423275,41.1,SOUTH ASIA
Shahnaz Himmeti,Afghanistan,"""Stub""",909966254,41.1,SOUTH ASIA
Anarkali Kaur Honaryar,Afghanistan,"""Start""",1069574154,41.1,SOUTH ASIA
Mahboba Hoqomal,Afghanistan,"""Stub""",1092518990,41.1,SOUTH ASIA
Musa Hotak,Afghanistan,"""Start""",1094201417,41.1,SOUTH ASIA
Mirza Muhammad Ismail,Afghanistan,"""C""",1073524466,41.1,SOUTH ASIA
Sayed Jalal,Afghanistan,"""Start""",1078580238,41.1,SOUTH ASIA
Said Tayeb Jawad,Afghanistan,"""C""",1093621927,41.1,SOUTH ASIA
Faizullah Kakar,Afghanistan,"""C""",1108932917,41.1,SOUTH ASIA
Amin Karim,Afghanistan,"""C""",1106333491,41.1,SOUTH ASIA
Sayed Jalal Karim,Afghanistan,"""Start""",1060701067,41.1,SOUTH ASIA
Ahmed Wali Karzai,Afghanistan,"""GA""",1090245979,41.1,SOUTH ASIA
Khadija Zahra Ahmadi,Afghanistan,"""Stub""",1115331693,41.1,SOUTH ASIA
Hafizullah Shabaz Khail,Afghanistan,"""Start""",1092416288,41.1,SOUTH ASIA
Rouh Gul Khairzad,Afghanistan,"""Stub""",925562571,41.1,SOUTH ASIA
Masoud Khalili,Afghanistan,"""GA""",1103105365,41.1,SOUTH ASIA
Mohammad Khan (athlete),Afghanistan,"""Stub""",1070779097,41.1,SOUTH ASIA
Samoud Khan,Afghanistan,"""Start""",1010948755,41.1,SOUTH ASIA
Farzana Kochai,Afghanistan,"""Stub""",1079430136,41.1,SOUTH ASIA
Farida Kuchi,Afghanistan,"""Start""",1109436134,41.1,SOUTH ASIA
Baran Khan Kudezai,Afghanistan,"""Start""",1106151353,41.1,SOUTH ASIA
Azizullah Lodin,Afghanistan,"""Start""",1102817004,41.1,SOUTH ASIA
Razaq Mamoon,Afghanistan,"""Start""",1100189662,41.1,SOUTH ASIA
Fazel Ahmed Manawi,Afghanistan,"""Stub""",1106464575,41.1,SOUTH ASIA
Moeen Marastial,Afghanistan,"""Start""",1102907176,41.1,SOUTH ASIA
Ahmad Massoud,Afghanistan,"""C""",1112608262,41.1,SOUTH ASIA
Ahmad Wali Massoud,Afghanistan,"""Start""",1108236868,41.1,SOUTH ASIA
Mohammad Daud Miraki,Afghanistan,"""C""",1112192884,41.1,SOUTH ASIA
Abdul Sattar Mirzakwal,Afghanistan,"""Stub""",1044450376,41.1,SOUTH ASIA
Abdul Karim Misaq,Afghanistan,"""Stub""",1052669338,41.1,SOUTH ASIA
Ali Mohammad (politician),Afghanistan,"""Stub""",1050463798,41.1,SOUTH ASIA
Nasruddin Mohseni,Afghanistan,"""Start""",1095044526,41.1,SOUTH ASIA
Davood Moradian,Afghanistan,"""Stub""",1106284627,41.1,SOUTH ASIA
Zalmai Mujadidi,Afghanistan,"""Start""",1104635001,41.1,SOUTH ASIA
Fazal Haq Mujahid,Afghanistan,"""C""",1113267490,41.1,SOUTH ASIA
Rahmatullah Nabil,Afghanistan,"""Start""",1112496538,41.1,SOUTH ASIA
Sardar Mohammad Nadir Naeem,Afghanistan,"""Stub""",1038680015,41.1,SOUTH ASIA
Daoud Naji,Afghanistan,"""Start""",1110983467,41.1,SOUTH ASIA
Gholam Rabani Nasher,Afghanistan,"""Stub""",916899472,41.1,SOUTH ASIA
Muhammad Yunus Nawandish,Afghanistan,"""C""",1111494390,41.1,SOUTH ASIA
Ali Maisam Nazary,Afghanistan,"""Start""",1107279930,41.1,SOUTH ASIA
Ghulam Faroq Nijrabi,Afghanistan,"""Stub""",1093612575,41.1,SOUTH ASIA
Zabih-U-llah Ghazi Noristani,Afghanistan,"""Start""",1001786762,41.1,SOUTH ASIA
Mohammed Tahir Omar,Afghanistan,"""Stub""",996093541,41.1,SOUTH ASIA
Nasrin Oryakhil,Afghanistan,"""Start""",1097277701,41.1,SOUTH ASIA
Murad Quenili,Afghanistan,"""Stub""",1093963498,41.1,SOUTH ASIA
Ghulam Mohammad Rigi,Afghanistan,"""Stub""",918256992,41.1,SOUTH ASIA
Ghulam Hassan Safi,Afghanistan,"""Stub""",987269301,41.1,SOUTH ASIA
Hanifa Safi,Afghanistan,"""Stub""",994195074,41.1,SOUTH ASIA
